year,url
1958,https://www.baseball-almanac.com/yearly/yr1958n.shtml
1959,https://www.baseball-almanac.com/yearly/yr1959n.shtml
1959,https://www.baseball-almanac.com/yearly/yr1959a.shtml
1960,https://www.baseball-almanac.com/yearly/yr1960a.shtml
1960,https://www.baseball-almanac.com/yearly/yr1960n.shtml
1961,https://www.baseball-almanac.com/yearly/yr1961a.shtml
1961,https://www.baseball-almanac.com/yearly/yr1961n.shtml
1962,https://www.baseball-almanac.com/yearly/yr1962n.shtml
1962,https://www.baseball-almanac.com/yearly/yr1962a.shtml
1963,https://www.baseball-almanac.com/yearly/yr1963a.shtml
1963,https://www.baseball-almanac.com/yearly/yr1963n.shtml
1964,https://www.baseball-almanac.com/yearly/yr1964n.shtml
1964,https://www.baseball-almanac.com/yearly/yr1964a.shtml
1965,https://www.baseball-almanac.com/yearly/yr1965a.shtml
1965,https://www.baseball-almanac.com/yearly/yr1965n.shtml
1966,https://www.baseball-almanac.com/yearly/yr1966a.shtml
1966,https://www.baseball-almanac.com/yearly/yr1966n.shtml
1967,https://www.baseball-almanac.com/yearly/yr1967n.shtml
1967,https://www.baseball-almanac.com/yearly/yr1967a.shtml
1968,https://www.baseball-almanac.com/yearly/yr1968a.shtml
1968,https://www.baseball-almanac.com/yearly/yr1968n.shtml
1969,https://www.baseball-almanac.com/yearly/yr1969n.shtml
1969,https://www.baseball-almanac.com/yearly/yr1969a.shtml
1970,https://www.baseball-almanac.com/yearly/yr1970a.shtml
1970,https://www.baseball-almanac.com/yearly/yr1970n.shtml
1971,https://www.baseball-almanac.com/yearly/yr1971n.shtml
1971,https://www.baseball-almanac.com/yearly/yr1971a.shtml
1972,https://www.baseball-almanac.com/yearly/yr1972a.shtml
1972,https://www.baseball-almanac.com/yearly/yr1972n.shtml
1973,https://www.baseball-almanac.com/yearly/yr1973n.shtml
1973,https://www.baseball-almanac.com/yearly/yr1973a.shtml
1974,https://www.baseball-almanac.com/yearly/yr1974n.shtml
1974,https://www.baseball-almanac.com/yearly/yr1974a.shtml
1975,https://www.baseball-almanac.com/yearly/yr1975n.shtml
1975,https://www.baseball-almanac.com/yearly/yr1975a.shtml
1976,https://www.baseball-almanac.com/yearly/yr1976a.shtml
1976,https://www.baseball-almanac.com/yearly/yr1976n.shtml
1977,https://www.baseball-almanac.com/yearly/yr1977a.shtml
1977,https://www.baseball-almanac.com/yearly/yr1977n.shtml
1978,https://www.baseball-almanac.com/yearly/yr1978n.shtml
1978,https://www.baseball-almanac.com/yearly/yr1978a.shtml
1979,https://www.baseball-almanac.com/yearly/yr1979a.shtml
1979,https://www.baseball-almanac.com/yearly/yr1979n.shtml
1980,https://www.baseball-almanac.com/yearly/yr1980n.shtml
1980,https://www.baseball-almanac.com/yearly/yr1980a.shtml
1981,https://www.baseball-almanac.com/yearly/yr1981a.shtml
1981,https://www.baseball-almanac.com/yearly/yr1981n.shtml
1982,https://www.baseball-almanac.com/yearly/yr1982n.shtml
1982,https://www.baseball-almanac.com/yearly/yr1982a.shtml
1983,https://www.baseball-almanac.com/yearly/yr1983a.shtml
1983,https://www.baseball-almanac.com/yearly/yr1983n.shtml
1984,https://www.baseball-almanac.com/yearly/yr1984n.shtml
1984,https://www.baseball-almanac.com/yearly/yr1984a.shtml
1985,https://www.baseball-almanac.com/yearly/yr1985a.shtml
1985,https://www.baseball-almanac.com/yearly/yr1985n.shtml
1986,https://www.baseball-almanac.com/yearly/yr1986n.shtml
1986,https://www.baseball-almanac.com/yearly/yr1986a.shtml
1987,https://www.baseball-almanac.com/yearly/yr1987a.shtml
1987,https://www.baseball-almanac.com/yearly/yr1987n.shtml
1988,https://www.baseball-almanac.com/yearly/yr1988n.shtml
1988,https://www.baseball-almanac.com/yearly/yr1988a.shtml
1989,https://www.baseball-almanac.com/yearly/yr1989a.shtml
1989,https://www.baseball-almanac.com/yearly/yr1989n.shtml
1990,https://www.baseball-almanac.com/yearly/yr1990n.shtml
1990,https://www.baseball-almanac.com/yearly/yr1990a.shtml
1991,https://www.baseball-almanac.com/yearly/yr1991a.shtml
1991,https://www.baseball-almanac.com/yearly/yr1991n.shtml
1992,https://www.baseball-almanac.com/yearly/yr1992n.shtml
